"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 04:30:08 UTC 2024","Tue Mar 19 04:30:12 UTC 2024","3741","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Tue Mar 19 02:33:44 UTC 2024","Tue Mar 19 02:33:49 UTC 2024","4868","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Mar 19 04:16:55 UTC 2024","Tue Mar 19 04:17:02 UTC 2024","7168","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Tue Mar 19 04:12:29 UTC 2024","Tue Mar 19 04:12:46 UTC 2024","16858","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue Mar 19 04:06:10 UTC 2024","Tue Mar 19 04:10:18 UTC 2024","248268","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Mar 19 04:57:51 UTC 2024","Tue Mar 19 04:57:53 UTC 2024","1710","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Mar 19 02:32:14 UTC 2024","Tue Mar 19 02:32:20 UTC 2024","6207","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Mar 19 02:31:54 UTC 2024","Tue Mar 19 02:32:14 UTC 2024","20397","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Mar 19 02:44:28 UTC 2024","Tue Mar 19 02:44:44 UTC 2024","15812","","6. Company Account","","","","1. Validate login credentials",""
"passed","Tue Mar 19 04:28:00 UTC 2024","Tue Mar 19 04:28:26 UTC 2024","26436","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Mar 19 04:15:10 UTC 2024","Tue Mar 19 04:15:18 UTC 2024","8413","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Tue Mar 19 04:12:46 UTC 2024","Tue Mar 19 04:12:55 UTC 2024","9620","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Tue Mar 19 02:38:36 UTC 2024","Tue Mar 19 02:39:31 UTC 2024","54657","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Tue Mar 19 03:28:43 UTC 2024","Tue Mar 19 03:28:44 UTC 2024","1609","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Tue Mar 19 02:35:26 UTC 2024","Tue Mar 19 02:35:42 UTC 2024","15493","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Mar 19 02:35:54 UTC 2024","Tue Mar 19 02:36:15 UTC 2024","20411","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Mar 19 02:29:34 UTC 2024","Tue Mar 19 02:29:43 UTC 2024","8436","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Tue Mar 19 02:56:15 UTC 2024","Tue Mar 19 02:56:26 UTC 2024","10915","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Tue Mar 19 02:42:03 UTC 2024","Tue Mar 19 02:42:14 UTC 2024","11068","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Tue Mar 19 02:37:34 UTC 2024","Tue Mar 19 02:38:27 UTC 2024","52793","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Tue Mar 19 02:45:24 UTC 2024","Tue Mar 19 02:45:33 UTC 2024","9917","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Tue Mar 19 03:28:17 UTC 2024","Tue Mar 19 03:28:19 UTC 2024","2884","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
